audio_duration,audio_url,user,timestamp,id,chat_id,message
1100.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737805442344.m4a?alt=media&token=7fcd9442-b15f-4d2b-9aad-691e59a8731a,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:44:02.969000+00:00,1D3YetJq58BJ8kCIIPmj,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-01-22 15:43:51.461000+00:00,1e2EeqdU6PMgZSyqJDHf,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Random message #2025-01-22 15:43:51.461040
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 11:05:20.193000+00:00,1iS3CS9RRjSGO6zUaios,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,4
3150.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737802731102.m4a?alt=media&token=52983085-0a84-4576-852c-853215afbcda,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 10:58:51.911000+00:00,3jsovQSLNwoh40RNQK12,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 11:05:14.927000+00:00,7izKjWtBUXJmCrdct2xe,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-01-22 11:05:35.952000+00:00,8BcPj0KqGUUBDoG5424P,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Random message #2025-01-22 11:05:35.952624
1700.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737556621180.m4a?alt=media&token=bd350279-4170-43a2-86e9-2c2d86e0b9be,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 14:37:01.869000+00:00,8U0NkwcaIIw9QWMCVHCJ,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
2650.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737560380510.m4a?alt=media&token=6feddbb6-1766-4d23-952b-eb2b63ce52dc,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:39:41.385000+00:00,DRClgZwXDyZhxJlHa5OQ,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:43:09.601000+00:00,Ek3RNiN6JV4O03av4gf4,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,szefsdv
2250.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737559507754.m4a?alt=media&token=da28ea8e-1f1a-4eb3-aeb3-bcd60a66aa23,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:25:08.856000+00:00,EwTlPKurppEBVbSOlF3r,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
